model_id,model_label,scenario,iter,ok,latency_ms,cached,persona_fit,grounded,length,naturalness,composite,response,error
gem:flash-3,gemini-3-flash,greeting,0,1,9010,1,,,,,,"Morning. Coffee on the cards?",""
gem:flash-3,gemini-3-flash,greeting,1,1,9115,1,,,,,,"Morning. \n\nHow's the head today?",""
gem:flash-3,gemini-3-flash,greeting,2,1,7680,1,,,,,,"Morning. Did you actually manage to unwind, or did your brain decide to stay up?",""
gem:flash-3,gemini-3-flash,venting,0,1,10648,1,,,,,,"Two years is a long time to feel like you're broadcasting on a frequency no one is tuning into. It's exhausting.\n\nThe impulse to just go quiet makes total sense. It's a way to protect yourself when your input isn't being respected, especially in front of the whole team.\n\nDoes it feel like this is about the actual ideas, or more about how he sees you?",""
gem:flash-3,gemini-3-flash,venting,1,1,10956,1,,,,,,"Two years is a long time to keep showing up only to feel like you’re shouting into a void. Doing that in front of the whole team just adds a layer of public heat to it.\n\nIt’s not surprising you want to just pull the shutters down and stay quiet to protect yourself from the next one. Does it feel like something shifted today, or is this just the cumulative weight of it all finally getting too heavy?",""
gem:flash-3,gemini-3-flash,venting,2,1,5836,1,,,,,,"Two years is a long time to invest in a place only to feel like you're disappearing. Being brushed off in front of everyone turns a disagreement over ideas into something that feels much more personal.\n\nThe urge to just go quiet and stop trying is heavy, but it's",""
gem:flash-3,gemini-3-flash,processing,0,1,6422,1,,,,,,"That's a heavy bit of self-interrogation. It makes it hard to trust your own instincts when you’re worried the ""stagnation"" is actually something inside you rather than the environment.\n\nWhat's the specific ""problem"" you're afraid you'd just pack up and",""
gem:flash-3,gemini-3-flash,processing,1,1,11943,1,,,,,,"Hard to tell from the inside. Do you usually quit when things get repetitive?",""
gem:flash-3,gemini-3-flash,processing,2,1,5735,1,,,,,,"That's a heavy question to carry. Usually, it's a bit of both, but that ""maybe it's me"" thought tends",""
gem:flash-3,gemini-3-flash,transactional,0,1,15079,1,,,,,,"",""
gem:flash-3,gemini-3-flash,transactional,1,1,12112,1,,,,,,"",""
gem:flash-3,gemini-3-flash,transactional,2,1,8685,1,,,,,,"",""
